,uri,title,price,content,area,street_width,age,street_direction,location.lat,location.lng,user.review,rent_period,city,city_id,district,district_id,width,length,daily_rentable
1,شارع-الشباب-حي-العزيزية-الرياض-88548,محل للإيجار في شارع الشباب ، حي العزيزية ، الرياض,76000.0,"*موقع حيوي
في العزيزية
تقاطع طريق النصر
مع شارع الشباب
*قربها من الدائري الجنوبي
*جوار محطة المترو 
*ومطعم الأفندي وموبايلي

رقم المعلن:
6415851",150.0,40.0,6.0,3.0,24.58843239881276,46.760539300739765,4.63,0.0,الرياض,21,حي العزيزية,502,6.0,25.0,0.0
4,شارع-القلم-حي-المونسية-الرياض-404928,محل للإيجار في شارع القلم ، حي المونسية ، الرياض,45000.0,"محلات تقاطع القلم مع الحله
المساحة المحل الواحد 70متر
  
السعر للمحل الواحد",70.0,35.0,0.0,4.0,24.817706786997945,46.760109812021255,4.63,0.0,الرياض,21,حي المونسية,590,,,0.0
6,الياسمين-الرياض-502824,"محل للإيجار في الياسمين, الرياض",300000.0,"معرض ميزانيين 
للايجار موقع مميز حيوي طريق انس بن مالك مقابل مركز سانيه التجاري 
مواقف كافيه مقدمه ٢٠ م يصلح لجميع الانشطه",333.0,60.0,0.0,4.0,24.81717,46.63819,4.68,0.0,الرياض,21,حي الياسمين,632,,,0.0
8,شارع-عبدالرحمن-الناصر-الملك-فيصل-الرياض-585451,"محل للإيجار في شارع عبدالرحمن الناصر, الملك فيصل, الرياض",70000.0,"يوجد محلات 
عدد ٤ وشقه ارضيه 
 للاستخدام التجاري",120.0,30.0,14.0,3.0,24.75811,46.78931,4.4,3.0,الرياض,21,حي الملك فيصل,578,,,0.0
9,شارع-الانوار-النظيم-الرياض-603105,"محل للإيجار في شارع الانوار, النظيم, الرياض",25000.0,"محلات عماره تجاريه شقق مفروشه بحي الندوة ٥ فتحات ٣ فتحات ٤*٨ فتحتين ٣*٨ مفتوحه على بعض شارع الانوار مقابل جامعة الامير نايف العربيه ومدينة تدريب الامن العام من جهة الشرق ٢٥٠٠٠ ريال للفتحه الواحده وقابله للتفاوض حسب نوع النشاط او الدفعات
للتواصل ج / ٠٥٠٠٠٠٥٥١٣",32.0,40.0,0.0,3.0,24.78799,46.86819,4.37,0.0,الرياض,21,حي النظيم,608,,,0.0
10,شارع-نجم-الدين-الأيوبي-طويق-الرياض-603176,"محل للإيجار في شارع نجم الدين الأيوبي, طويق, الرياض",60000.0,"عمارة تجاريه زاويه شارع نجم الدين الايوبي عباره عن ٤ صالات مع ميزان 
٢ صاله كل واحده ٤*١٨ مع ميزان ٥٠٪‏ سعر ٧٠٠٠٠ للصاله الواحده
٢ صاله كل واحده ٤*١٢ مع ميزان ٥٠٪‏ سعر ٦٠٠٠٠ للصاله الواحده
٧ شقق مكتبيه مدخل جانبي مع مصعد كل شقه غرفتين وصاله ومطبخ ودوره مياه ١٨٠٠٠ للشقه الواحده 
يقبل الايجار بالكامل
للتواصل ج/ ٠٥٠٠٠٠٥٥١٣",550.0,60.0,0.0,2.0,24.55534,46.52628,4.37,0.0,الرياض,21,حي طويق,682,,,0.0
11,شارع-الشباب-حي-العزيزية-الرياض-622225,محل للإيجار في شارع الشباب ، حي العزيزية ، الرياض,26000.0,"محل للإيجار بشارع الشباب بحي العزيزية
تصلح لعدة أنشطة قريب من الدائري الجنوبي
وقريب من التجمعات السكانية
وعلى المترو
* الإيجار للفتحة الواحدة

رقم المعلن:
6415851",80.0,40.0,6.0,3.0,24.591825593026773,46.7589108645916,4.63,0.0,الرياض,21,حي العزيزية,502,4.0,20.0,0.0
15,شارع-الجامعة-الملز-الرياض-715329,"محل للإيجار في شارع الجامعة, الملز, الرياض",40000.0,محل علي شارع الجامعه موقع انوار الطريق لتاجير السيارات سابقآ,30.0,40.0,12.0,7.0,24.66155,46.72673,4.3,0.0,الرياض,21,حي الملز,568,,,0.0
18,شارع-السمح-بن-مالك-الدفاع-الرياض-818632,"محل للإيجار في شارع السمح بن مالك, الدفاع, الرياض",80000.0,يوجد لدينا معارض مميزه للإيجار بموقع متميز يربط بين طريق الخرج القديم والجديد ومقابل إسكان طريق الخرج رقم (١) وغرب إسكان القوات البحريه  مغطاة بشبكه الدفاع المدني ومكيفه تكييف كامل مكيفات ماركة ترين الأمريكيه ويوجد مساحات مختلفه  ومتنوعه وبإيجارات مناسبه,240.0,35.0,0.0,4.0,24.57689,46.8287,4.17,0.0,الرياض,21,حي الدفاع,430,,,0.0
22,طريق-المدينة-المنورة-حي-السويدي-الغربي-الرياض-870999,محل للبيع في طريق المدينة المنورة ، حي السويدي الغربي ، الرياض,55000.0,55 الف إيجار..,85.0,40.0,12.0,1.0,24.586602840576564,46.62138260900974,4.63,0.0,الرياض,21,حي السويدي الغربي,472,,,0.0
23,طريق-المدينة-المنورة-حي-السويدي-الغربي-الرياض-871010,محل للإيجار في طريق المدينة المنورة ، حي السويدي الغربي ، الرياض,20000.0,,45.0,40.0,14.0,1.0,24.58683942551607,46.621662229299545,4.63,0.0,الرياض,21,حي السويدي الغربي,472,,,0.0
24,المملكة-العربية-السعودية-871250,محل للإيجار في المملكة العربية السعودية,20000.0,,45.0,35.0,0.0,1.0,24.5782089689268,46.61269392818213,4.63,0.0,الرياض,21,حي السويدي الغربي,472,,,0.0
28,شارع-القلم-حي-قرطبة-الرياض-1005406,محل للإيجار في شارع القلم ، حي قرطبة ، الرياض,35000.0,لا يوجد دورة مياه,31.0,35.0,3.0,1.0,24.812924421551017,46.74941953271627,5.0,0.0,الرياض,21,حي قرطبة,706,,,0.0
31,شارع-ابن-حجر-الدار-البيضاء-الرياض-1032135,"محل للإيجار في شارع ابن حجر, الدار البيضاء, الرياض",12000.0,"محلات جديدة خام للإيجار السنوي 
الموقع / حي الدار البيضاء 
بجوار محطة للمترو 
الدفع / سنوي 12000 ريال - نصف سنوي 6500 ريال - شهري 1200 ريال.  
للفتحة الواحدة 
عرض الفتحة على الشارع 4 أمتار و عمق 10 - 12 أمتار 
و بالإمكان إستئجار أكثر من فتحة
تنبيه / الموقع غير دقيق يرجى التواصل مع الرقم الموجود في الإعلان",40.0,30.0,3.0,4.0,24.56997,46.80525,4.75,0.0,الرياض,21,حي الدار البيضاء,424,,,0.0
37,طريق-ابن-تيمية-حي-بدر-الرياض-1113608,محل للإيجار في طريق ابن تيمية ، حي بدر ، الرياض,85000.0,صاله على زاوية مميزه مع مساحه إعلانية ممتازه.,160.0,60.0,2.0,1.0,24.540021967976955,46.68971590697766,4.63,0.0,الرياض,21,حي بدر,648,,,0.0
42,شارع-المدينة-المنورة-حي-السويدي-الغربي-الرياض-1157082,محل للإيجار في شارع المدينة المنورة ، حي السويدي الغربي ، الرياض,27000.0,محل على شارع المدينه ديكور جاهز,60.0,50.0,13.0,1.0,24.58694,46.622018,4.63,,الرياض,21,حي السويدي الغربي,472,,,0.0
43,الرياض-1200012,محل للإيجار في الرياض,90000.0,"السلام عليكم 
رقم المعلن : 0972021
محلات ميزانين جديدة للايجار في حي عريجاء باسعار مميزة  على الدائري الغربي 
بمساحات مختلفة ١٩٧م ، ٢٠٥م ، ٢١٤ ، ٢٢٤م ، ٢٤٢م
اعلان مفوض كتابيا من المالك 

ولتسويق عقاراتكم يشرفنا التعاون معكم على نفس الرقم والله الموفق",228.0,100.0,5.0,5.0,24.593638,46.59322,4.16,,الرياض,21,حي العريجاء الغربية,498,11.0,21.0,0.0
45,شارع-عسير-حي-ظهرة-لبن-الرياض-الرياض-1241206,محل للإيجار في شارع عسير ، حي ظهرة لبن ، الرياض ، الرياض,200000.0,صالات تجارية ميزانين  بمساحة إجمالية 900متر .. على شارع الشفاء,900.0,58.0,0.0,4.0,24.60434,46.508427,4.63,,الرياض,21,حي ظهرة لبن,688,30.0,30.0,0.0
47,شارع-ابن-تيمية-حي-بدر-الرياض-1288629,محل للإيجار في شارع ابن تيمية ، حي بدر ، الرياض,42000.0,"صالات للايجار ميزانين موقع مميز على طريق بن تيمية يوجد بالموقع 4 صالات للتواصل 0500598800 ابو ثامر
او الرقم 0562469000 ابو سعيد",121.0,60.0,0.0,1.0,24.533297,46.6842,4.62,,الرياض,21,حي بدر,648,,,0.0
50,طريق-الامير-محمد-بن-عبدالعزيز-الفرعي-حي-العليا-الرياض-1346064,محل للإيجار في طريق الامير محمد بن عبدالعزيز الفرعي ، حي العليا ، الرياض,1200000.0,مبني تجاري عباره عن معرض اربع ادوار مفتوحه على بعض فيها مصعدين وسطح مجهز بالكامل ومطبخ مركزي وتكييف وسكن ومكاتب موظفين يصلح للمطاعم الكبيره مجموع المسطحات مايقارب اربعة الاف متر الصياد سابقا,1650.0,60.0,30.0,1.0,24.693087,46.676746,4.36,,الرياض,21,حي العليا,506,,,0.0
51,شارع-الامام-مسلم-حي-بدر-الرياض-1348252,محل للإيجار في شارع الامام مسلم ، حي بدر ، الرياض,7000.0,"يصلح مكاتب عقار او مقاولات او خدمات
موجود ٤ فتحات فاضيه بالعماره",25.0,60.0,5.0,3.0,24.531139,46.700829,4.41,,الرياض,21,حي بدر,648,1.0,25.0,0.0
52,شارع-الإحساء-حي-الملز-الرياض-1354808,محل للإيجار في شارع الإحساء ، حي الملز ، الرياض,350000.0,معرض على واجهتين شارع. الاحساء مقالل حديقه الحيوان وسيتم عمل كلايد للعمار كامله.  مكاتب  80 متر. سعر  المكتب  50000 الف ريال سنوي  تصلح مكاتب او عيادات,300.0,50.0,0.0,2.0,24.678185,46.734863,4.34,,الرياض,21,حي الملز,568,,,0.0
53,شارع-ام-عمارة-حي-بدر-الرياض-1375155,محل للإيجار في شارع ام عمارة ، حي بدر ، الرياض,7000.0,محل مونتاج صوتيات واعمال اخري,30.0,30.0,15.0,1.0,24.544714,46.70433,4.4,,الرياض,21,حي بدر,648,,,0.0
54,شارع-ام-عمارة-حي-بدر-الرياض-1375167,محل للإيجار في شارع ام عمارة ، حي بدر ، الرياض,7000.0,"ثلاث محلات متلاصقة سعر الفتحة الوحدة 7000
انشطة متعددة شارع تجاري",36.0,30.0,15.0,1.0,24.544729,46.704315,4.4,,الرياض,21,حي بدر,648,5.0,7.0,0.0
58,طريق-الإمام-عبدالله-بن-سعود-بن-عبدالعزيز-حي-اليرموك-الرياض-1395311,محل للإيجار في طريق الإمام عبدالله بن سعود بن عبدالعزيز ، حي اليرموك ، الرياض,45000.0,معرضين متجاوره تنفع لنشاطات متعدده الموقع على طريق الامام عبدالله بن سعود بن عبدالعزيز يتميز باكتمال الخدمات ومجاور لمصرف الانماء وفي الجهه المقابله لنادي وقت اللياقه المعرض الواحد بقيمة ٤٥ الف المعرضين بقيمة ٩٠ الف,45.0,60.0,19.0,6.0,24.797274,46.779751,4.59,,الرياض,21,حي اليرموك,634,,,0.0
60,طريق-الملك-عبدالله-بن-عبدالعزيز-حي-الرائد-الرياض-1405935,محل للإيجار في طريق الملك عبدالله بن عبدالعزيز ، حي الرائد ، الرياض,39000.0,"محلات للايجار بالرياض على طريق الملك عبدالله مقابل جامعة الملك سعود 

مساحة المحل 40 عمق 10 متر عرض 4 متر 
*يوجد فتحتين بجانب بعض.
*يوجد في نفس العمارة سكن للعمال

ب39 الف سنوي

للتواصل: 0553197088",40.0,80.0,,1.0,24.707663,46.627068,4.69,,الرياض,21,حي الرائد,436,,,0.0
65,طريق-الإمام-عبدالله-بن-سعود-بن-عبدالعزيز-حي-اليرموك-الرياض-1578079,محل للإيجار في طريق الإمام عبدالله بن سعود بن عبدالعزيز ، حي اليرموك ، الرياض,45000.0,أربع معارض تجاريه متجاوره مساحة كل معرض ٤٥ م تقريبي وسعر كل معرض ٤٥ ألف قابل للتفاوض حسب النشاط والاسم,45.0,60.0,13.0,4.0,24.800165,46.78656,4.59,,الرياض,21,حي اليرموك,634,,,0.0
67,ركاء-بلازا-طريق-الملك-عبدالله-الرياض-1619730,محل للإيجار في ركاء بلازا ، طريق الملك عبدالله ، الرياض,100000.0,"يوجد معرض للايجار على طريق الملك عبدالله مقابل جامعة الملك سعود بالرياض دوار الكتاب العمارة بجانب مجمع الركاء اسواق التميمي 

مساحة المحل:
العمق 27 متر والعرض 4 متر المساحه108 متر

تواصل: ‪0553197088‬",108.0,80.0,,1.0,24.713942,46.633537,4.69,,الرياض,21,حي الرائد,436,,,0.0
76,شارع-عائشة-بنت-أبي-بكر-حي-السويدي-الرياض-الرياض-1775198,محل للإيجار في شارع عائشة بنت أبي بكر ، حي السويدي ، الرياض ، الرياض,275000.0,يقع المشروع بحي السويدي شارع عائشة بنت أبي بكر رضي الله عنها المساحات تبداء من 369 متر  سعر المتر الواحد 750 ريال الصالة عبارة عن أرضي وميزن وتراس,369.0,60.0,1.0,3.0,24.588142,46.653298,4.77,,الرياض,21,حي السويدي,470,,,0.0
77,طريق-الأمير-سعد-بن-عبدالرحمن-الأول-حي-السعادة-الرياض-الرياض-1775214,محل للإيجار في طريق الأمير سعد بن عبدالرحمن الأول ، حي السعادة ، الرياض ، الرياض,70000.0,صالات تجارية أرضي وميزان بحي السعادة على طريق الميه ( شارع سعد بن عبد الرحمن الأول ),150.0,100.0,1.0,1.0,24.701671,46.831112,4.77,,الرياض,21,حي السعادة,460,,,0.0
82,المملكة-العربية-السعودية-1903625,محل للإيجار في المملكة العربية السعودية,80000.0,"4 محلات للايجار بالكامل او. بالمحل.          🔴 
تصلح معمل
او اي نشاط
او محل شاهي
او بوفيه
او تموينات
العماره يوجد بها حلاق ومغسله
         
رقم المعلن 5151605",192.0,30.0,0.0,3.0,24.624027,46.513813,4.33,,الرياض,21,حي ظهرة لبن,688,,,0.0
86,طريق-النصر-حي-المصانع-الرياض-الرياض-1977459,محل للإيجار في طريق النصر ، حي المصانع ، الرياض ، الرياض,30000.0,"صالات تجاريه للأيجار  عدد ١٤ صاله
كل صاله 

عرضها ٦.١٤ متر   في عمق  ٢٠ متر   .=122.8 لكل صاله

الكل تقريبا ١٧٠٠ متر


موقع مميز تقع على شارع ابن تيميه بالاتجاه للعزيزيه قبل كبري سوق الغنم 

جديده لم تسكن 

💫شعارنا 
💫نستقبل العرض وننحقق الطلب 💫

 🏁 موقعنا الشفاء شارع عرفات قبل مطعم البيك و مقابل قاعة الاسطوره للاحتفالات 

💫💫💥  اذا حللت أباحه السعي فتذكر انه عند الله حق وفي ذمة من يصل للعقار عن طريقنا وعند طريق الإعلان.........",122.0,60.0,0.0,1.0,24.579964,46.745323,4.17,,الرياض,21,حي المصانع,552,,,0.0
87,شارع-ينبع-حي-ظهرة-لبن-الرياض-الرياض-1987269,محل للإيجار في شارع ينبع ، حي ظهرة لبن ، الرياض ، الرياض,30000.0,"معارض للإيجار في حي ظهرة لبن بالرياض 
تقاطع شارع ينبع مع شارع حائل 

المتبقي 3 محلات فقط من 11 

مجمع بنده 

السعر غير شامل للضريبة 

ابومحمد 0541715858 

ملاحظة / جميع المحلات مشطبة ..",60.0,40.0,5.0,1.0,24.630825,46.539459,3.63,,الرياض,21,حي ظهرة لبن,688,5.0,12.0,0.0
88,طريق-الملك-عبدالعزيز-حي-النفل-الرياض-الرياض-1997425,محل للإيجار في طريق الملك عبدالعزيز ، حي النفل ، الرياض ، الرياض,400000.0,"معرض مشطب رقم 4 ميزانين بمركز النفل التجاري على طريق الملك عبدالعزيز

اجمالي مساحة المعرض 420 متر (6،30م عرض في 44م عمق) مقسمة كالتالي:

الدور الارضي 280 متر 
الدور العلوي 140 متر 

المعرض مكيف و يوجد به تشطيبات جيده .. 


للاستفسار يمكن التواصل مع شركة رؤية المستثمر على جوال رقم:

0599999222 

او خدمة العملاء على الرقم الموحد:
 
920006914",420.0,60.0,2.0,3.0,24.776476,46.665802,4.28,,الرياض,21,حي النفل,610,6.0,70.0,0.0
91,طريق-الامير-سعد-بن-عبدالرحمن-الاول-الفرعي-حي-السعادة-الرياض-الرياض-2023171,محل للإيجار في طريق الامير سعد بن عبدالرحمن الاول الفرعي ، حي السعادة ، الرياض ، الرياض,35000.0,"للايجار محل تجاري زاويه على شارع ( الميه) الامير عبدالرحمن بن سعد الاول صناعية النسيم حي السعاده
عرض المحل 4 متر في عمق 12
يوجد في المحل دورة مياه مستقله
المراجعه والاستفسار وتس اب

0544410100",48.0,100.0,20.0,1.0,24.716654,46.854452,4.4,,الرياض,21,حي السعادة,460,,,0.0
92,طريق-الملك-فهد-حي-العليا-الرياض-الرياض-2025335,محل للإيجار في طريق الملك فهد ، حي العليا ، الرياض ، الرياض,750000.0,"معارض فاخره للايجار ببرج فندقي موقع مميز على ميدان القاهره تقاطع  طرريق الملك فهد والعليا وخريص
معرض رقم 1 الواجهه الميدان العليا مساحه 499
معرض رقم 2 الواجهه هوليدي الميدان مساحه 319
معرض رقم 3 الواجهه العليا خريص مساحه 512
معرض رقم 4 الواجهه خريص مساحه 322
معرض رقم 5 الواجهه الملك فهد خريص الميدان مساحه 511
سعر المتر بين1550 و1600
حسب الواجه خصومات ١٥٪؜ الخدمات الصحي والمطعم وخدمة الغرف والاقامة
النادي حسب المساحة اشتراك مجاني اول سنة",500.0,100.0,0.0,10.0,24.673395,46.692394,3.86,,الرياض,21,حي العليا,506,15.0,33.0,0.0
94,شارع-المدينة-المنورة-حي-البديعة-الرياض-الرياض-2046630,محل للإيجار في شارع المدينة المنورة ، حي البديعة ، الرياض ، الرياض,12000.0,السلام عليكم نتشرف بعمل جميع العقودالسكني والتجاري عن طريق نظام ايجار والعقدالموحد,45.0,40.0,,4.0,24.615461,46.688335,4.36,,الرياض,21,حي سلطانة,672,,,0.0
97,طريق-الامير-سعد-بن-عبدالرحمن-الاول-الفرعي-حي-الفيحاء-الرياض-الرياض-2082248,محل للإيجار في طريق الامير سعد بن عبدالرحمن الاول الفرعي ، حي الفيحاء ، الرياض ، الرياض,790000.0,"للايجار ٤معارض 
معرض ١ /مساحته ١٩٦م 
معرض ٢ / مساحته ٢٨٢م
معرض ٣ / مساحته ٢٨٦م 
معرض ٤ / مساحته ٢٩٠م 

سعر المتر ٧٥٠ ريال 
وقابل للتفاوض 
للتواصل /٠٥٥١٥٠٤٤٩٩",1054.0,100.0,0.0,1.0,24.687872,46.799999,4.52,,الرياض,21,حي الفيحاء,526,,,0.0
101,حي-السويدي-الغربي-الرياض-الرياض-2117756,محل للبيع في حي السويدي الغربي ، الرياض ، الرياض,200000.0,"تموينات للتقبيل 
3 فتحات 
المساحة 90 م 
الدخل اليوم من 2500 ريال الى 2800 ريال 
الايجار السنوي 40 الف 
البضاعه بالكامل + مع العمالة + يوجد توصيل",90.0,40.0,,1.0,24.56739,46.637367,4.35,,الرياض,21,حي السويدي الغربي,472,12.0,7.0,0.0
103,شارع-نجم-الدين-الأيوبي-الفرعي-حي-طويق-الرياض-الرياض-2131628,محل للإيجار في شارع نجم الدين الأيوبي الفرعي ، حي طويق ، الرياض ، الرياض,30000.0,محل مجهز للايجار موقع مميز,72.0,60.0,7.0,1.0,24.55313,46.556345,4.15,,الرياض,21,حي طويق,682,,,0.0
105,شارع-المدينة-المنورة-حي-العريجاء-الغربية-الرياض-الرياض-2145649,محل للإيجار في شارع المدينة المنورة ، حي العريجاء الغربية ، الرياض ، الرياض,200000.0,"تم تأجير جميع المعارض لم يتبقى سوى م واحد

معارض للإيجار 

موقع مميز على طريق المدينة والدائري الغربي بجانب ساكو بالقرب من منطقة تجارية مركزية ومحطة مترو السويدي الغربي الرئيسية.

معارض ميزان،
الموقع يتناسب مع عدة أنشطة:
عيادات طبية -كافيهات-ألعاب أطفال-بيع الأثاث المودرن-بيع الأقمشة-بيع الأحذية-مستلزمات الحدائق.وغيرها الكثير من الأنشطة.
جاري افتتاح الشارع الرئيسي في المراحل الأخيرة من تجميل المنطقة،

الإتصال والمراسلة من 3،30 مً حتى 10 مً

وائل الزارع

0535747576

أبو سعد

0505881506",540.0,40.0,15.0,4.0,24.578678,46.607353,4.49,,الرياض,21,حي العريجاء الغربية,498,,,0.0
112,الرياض-حي-الفيصلية-الرياض-2254614,محل للإيجار في الرياض ، حي الفيصلية ، الرياض,31000.0,"محل للإيجار على طريق علي بن أبي طالب

موقع مميز يصلح لعدة أنشطة",30.0,50.0,10.0,3.0,24.637763,46.761142,4.63,,الرياض,21,حي الفيصلية,528,4.0,8.0,0.0
116,شارع-الامير-طلال-حي-العريجاء-الرياض-الرياض-2274394,محل للإيجار في شارع الامير طلال ، حي العريجاء ، الرياض ، الرياض,8000.0,"( م ز ر و ع ) يوجد لدينا محلات للايجار وباسعار مناسبه 
في العريجا 
 شقق للايجار السنوي عزاب او عوائل 
غرف عزاب وباسعار مناسبه 
((تسويق عقار - اداره للاملاك - تاجير ))
لدى مكتب السقامي للعقارات 

للتواصل

مكتب السقامي للعقارات
Duraid Ibn As Samah دريد بن الصمة، البديعة، الرياض 12747 3232

  والموقع
‏‪‬‏
https://maps.app.goo.gl/5rV2sZNh3sXfUUur7
تواصل مع المكتب 
المكتب يفتح صباح من الساعة ٩ الى ١٢ ظهرًا 
ومن الساعة ٤الى ١٠ مساءً 
الجمعة مغلق
هاتف المكتب الثابت.
011 435 4422
جو",25.0,15.0,7.0,3.0,24.626535,46.654602,4.6,,الرياض,21,حي العريجاء,496,,,0.0
119,حي-الياسمين-الرياض-الرياض-2299431,محل للإيجار في حي الياسمين ، الرياض ، الرياض,360000.0,"صالات للإيجار 
مساحة المعرض الواحد 433م

تقاطع العليا العام مع أنس بن مالك مقابل مستشفى الحبيب الجديد .. وبجانب محطة مترو الحبيب..بجانب الهيئة العامة للعقار ،،
تسهيلات في مدة العقد وفترة السماح تلائم جميع الأنشطة..

 التواصل من الساعة 4 عصراً حتى الساعة 10 مساءً 
 ونعتذر في حالة عدم الرد المرجو منكم إرسال رسالة واتس آب وسوف يتم الرجوع إليكم لاحقاً ..

لتقديم عروض الأسعار المراسلة على الإيميل

                   W.alzarea@baz-dc.com

وائل الزارع

0535747576
 
  شركة باز التنمية للتطوير والإستثمار",433.0,40.0,0.0,3.0,24.812498,46.625771,4.49,,الرياض,21,حي الياسمين,632,8.0,54.0,0.0
125,طريق-الامام-مالك-حي-بدر-الرياض-الرياض-2322605,محل للإيجار في طريق الامام مالك ، حي بدر ، الرياض ، الرياض,14000.0,"يوجد بالموقع عدد من المحلات للايجار سابقا محلات اتصالات 
تصلح لاقامة مشروع تجاري تموينات مخبز فوال التواصل واتساب 0542428878 و واتساب 0500598800",28.0,30.0,16.0,3.0,24.55138,46.704075,4.62,,الرياض,21,حي بدر,648,,,0.0
129,شارع-عبيد-الله-الفقيه-حي-الفيصلية-الرياض-الرياض-2333867,محل للإيجار في شارع عبيد الله الفقيه ، حي الفيصلية ، الرياض ، الرياض,137500.0,"ورش للايجار في صناعية التقنية محدودة 
صناعية التقنية تضم مجموعة من المشاريع والنشاطات الصناعية والخدمية للعديد من ورش السيارات ووكلاء الصيانة وشركات التقديرات وشركات التأمين وغيرها 
كما تتميز الصناعية بموقعها الممتاز حيث يسهل الدخول اليها والخروج منها بسبب وقوعها على الدائري الشرقي مخرج ١٧ 
 كما يضم المشروع معظم وكلاء السيارات المتواجدين في المملكة 

نسعد بخدمتكم.. 
٠٥٣٢٩٩١١٨٨
٠٥٥٣٠٠٦٠٢٢",550.0,25.0,0.0,9.0,24.650138,46.791104,4.76,,الرياض,21,حي الفيصلية,528,,,0.0
130,شارع-محمد-رشيد-رضا-حي-الدار-البيضاء-الرياض-الرياض-2337353,محل للإيجار في شارع محمد رشيد رضا ، حي الدار البيضاء ، الرياض ، الرياض,80000.0,صالتين  ميزانين  كل صاله بمساحه 245متر كما يوجد صالتين طابقين كانت عيادة أسنان سابقا وجاهزه للاستخدام,245.0,40.0,3.0,3.0,24.552759,46.780509,4.0,,الرياض,21,حي الدار البيضاء,424,6.0,41.0,0.0
131,شارع-حمزة-بن-عبدالمطلب-حي-الحزم-الرياض-الرياض-2337548,محل للإيجار في شارع حمزة بن عبدالمطلب ، حي الحزم ، الرياض ، الرياض,10000.0,للايجارفتحتين. محلات على شارع حمزه حي الحزم.  يوجود مواقف امام المحلات كل فتحه عشرة الاف,50.0,34.0,,3.0,24.540329,46.650238,4.43,,الرياض,21,حي الحزم,414,,,0.0
132,طريق-السيل-الكبير-حي-المهدية-الرياض-الرياض-2340046,محل للإيجار في طريق السيل الكبير ، حي المهدية ، الرياض ، الرياض,120000.0,"صالات ميزانين عدد 6 صالات
كل صاله 150متر

1200م مكاتب  اداريه صاله مفتوحه",150.0,40.0,0.0,9.0,24.652539,46.507344,4.0,,الرياض,21,حي المهدية,588,,,0.0
134,الطريق-الدائري-الشرقي-الفرعي-حي-الفيصلية-الرياض-الرياض-2351197,محل للإيجار في الطريق الدائري الشرقي الفرعي ، حي الفيصلية ، الرياض ، الرياض,400000.0,"صالات تجارية كبيرة وجديدة للايجار
تقع الصالات على الدائري الشرقي مباشرة وخلفها مباشرة صناعية التقنية  

نسعد بخدمتكم ..
0537205555",660.0,100.0,0.0,2.0,24.650093,46.792957,4.76,,الرياض,21,حي الفيصلية,528,,,0.0
136,شارع-الشيخ-صالح-بن-عبد-العزيز-بن-عبد-الرحمن-حي-السويدي-الغربي-الرياض-الرياض-2361021,محل للإيجار في شارع الشيخ صالح بن عبد العزيز بن عبد الرحمن ، حي السويدي الغربي ، الرياض ، الرياض,120000.0,خمس محلات مناسبة سوبر ماركت,240.0,40.0,4.0,4.0,24.575712,46.627175,4.63,,الرياض,21,حي السويدي الغربي,472,22.0,11.0,0.0
138,شارع-الامام-مسلم-حي-بدر-الرياض-الرياض-2384010,محل للإيجار في شارع الامام مسلم ، حي بدر ، الرياض ، الرياض,65000.0,"صالات جديدة للايجار -طريق الامام مسلم - مقابل بندة
موقع مميز 

صالة١ المساحة ٢٢٥م السعر 95000ريال 

جميع الصالات المساحة ١٥٦ م السعر 75000ريال للصالة الوحده",156.0,60.0,0.0,2.0,24.536079,46.69368,4.71,,الرياض,21,حي بدر,648,,,0.0
154,شارع-فتح-مكة-حي-بدر-الرياض-الرياض-2445805,محل للإيجار في شارع فتح مكة ، حي بدر ، الرياض ، الرياض,8000.0,5محلات للإيجار,25.0,40.0,8.0,2.0,24.52766,46.702855,4.6,,الرياض,21,حي بدر,648,,,0.0
162,حي-بدر-الرياض-الرياض-2461105,محل للإيجار في حي بدر ، الرياض ، الرياض,10000.0,٣ محلات لكل محل مساحه٣٥ متر تقريبا ايجار لكل محل ١٠ الاف,35.0,30.0,7.0,1.0,24.527704,46.685711,4.41,,الرياض,21,حي بدر,648,,,0.0
164,شارع-سلمان-الفارسي-حي-الخليج-الرياض-الرياض-2469645,محل للإيجار في شارع سلمان الفارسي ، حي الخليج ، الرياض ، الرياض,20000.0,فتحه واحده كبيره,78.0,40.0,25.0,3.0,24.779629,46.79855,4.58,,الرياض,21,حي الخليج,422,6.0,13.0,0.0
165,طريق-الإمام-عبدالله-بن-سعود-بن-عبدالعزيز-الفرعي-حي-اليرموك-الرياض-الرياض-2471565,محل للإيجار في طريق الإمام عبدالله بن سعود بن عبدالعزيز الفرعي ، حي اليرموك ، الرياض ، الرياض,350000.0,"🔴 5 معارض للايجار بمساحة 550 م 🔴  

المعارض مفتوحة على بعض

رقم المعلن  :
4704347

رقم التصنيف  :  
684

🔴 التواصل عن طريق الواتس فقط 🔴",550.0,60.0,15.0,4.0,24.80189,46.790884,4.08,,الرياض,21,حي اليرموك,634,,,0.0
